"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID31_CampusCourseFeesResKey","UID4_CoursesOnCampusResKey","E525_CampusSuburb","E644_CampusCountryCode","E559_CampusPostcode","Campuses_E609_EffectiveFromDate","UID5_CoursesResKey","E307_CourseCode","E536_CourseFeesCode","E495_IndicativeStudentContributionCSP","E496_IndicativeTuitionFeeDomesticFP","E609_EffectiveFromDate"
35,1055,"HEP",65522,45439,"CRAWLEY",1101,"6009","01/01/1999",111697,"422701",2,"NULL","33089.00","01/11/2022"
35,1055,"HEP",38667,42202,"CRAWLEY",1101,"6009","01/01/1999",99578,"133801",2,"NULL","23000.00","01/01/2017"
35,1055,"HEP",25822,37134,"CRAWLEY",1101,"6009","01/01/1999",8860,"0009U1",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",25839,37151,"HONG KONG ED",6102,"NULL","01/01/1999",101206,"313102",0,"NULL","NULL","01/01/2013"
35,1055,"HEP",25856,37168,"CRAWLEY",1101,"6009","01/01/1999",79170,"115303",0,"NULL","NULL","01/01/2015"
35,1055,"HEP",25873,37185,"CRAWLEY",1101,"6009","01/01/1999",59509,"423301",0,"NULL","NULL","01/01/2010"
35,1055,"HEP",25902,37215,"CRAWLEY",1101,"6009","01/01/1999",52534,"511803",0,"NULL","NULL","01/01/2013"
35,1055,"HEP",25917,37232,"CRAWLEY",1101,"6009","01/01/1999",11596,"6000N3",0,"NULL","NULL","01/06/2005"
35,1055,"HEP",65605,37232,"CRAWLEY",1101,"6009","01/01/1999",11596,"6000N3",1,"31445.00","NULL","01/11/2022"
35,1055,"HEP",25934,37249,"SINGAPORE BUSINESS",5205,"NULL","01/01/1999",58011,"423101",0,"NULL","NULL","01/01/2009"
35,1055,"HEP",25997,37317,"CRAWLEY",1101,"6009","01/01/1999",130358,"CM0091",1,"8792.00","NULL","01/01/2021"
35,1055,"HEP",26010,37332,"CRAWLEY",1101,"6009","01/01/1999",130345,"CM0141",1,"12162.00","NULL","01/01/2021"
35,1055,"HEP",26060,37383,"CRAWLEY",1101,"6009","01/01/1999",11594,"6013H1",0,"NULL","NULL","01/01/2005"
