"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","E394_CourseOfStudyName","UID5_CoursesResKey","E307_CourseCode","E308_CourseName","E596_StandardCourseDuration","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9159,"104101CL","Master of Arts - Preliminary [E&C - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9160,"104101GH","Master of Arts - Preliminary [L&PS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9185,"104101BL","Master of Arts - Preliminary [AHSS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9186,"104101FL","Master of Arts - Preliminary [Law - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9187,"104101IL","Master of Arts - Preliminary [N&AS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9258,"104101AL","Master of Arts - Preliminary [ALVA - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9259,"104101EL","Master of Arts - Preliminary [EC&M - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9260,"104101IH","Master of Arts - Preliminary [N&AS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9312,"104101DL","Master of Arts - Preliminary [Educ - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",9313,"104101HH","Master of Arts - Preliminary [M&D - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",8911,"104101DH","Master of Arts - Preliminary [Educ - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1492,"10410","Master of Arts - Preliminary",8912,"104101GL","Master of Arts - Preliminary [L&PS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",8913,"107101AL","Master of Arts - Research","2.000","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9314,"107101BL","Master of Arts - Research","2.000","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9319,"107101EL","Master of Arts - Research [EC&M - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9320,"107101IH","Master of Arts - Research [N&AS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9321,"107102DH","Master of Arts - Research [Educ - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9322,"107102GL","Master of Arts - Research [L&PS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9261,"107101DH","Master of Arts - Research [Educ - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9266,"107101GH","Master of Arts - Research [L&PS - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9267,"107102","Master of Arts - Research","NULL","01/01/2006","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9268,"107102EH","Master of Arts - Research [EC&M - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9269,"107102HL","Master of Arts - Research [M&D - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9193,"107101GL","Master of Arts - Research [L&PS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9194,"107102AL","Master of Arts - Research","2.000","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9195,"107102EL","Master of Arts - Research [EC&M - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9196,"107102IH","Master of Arts - Research","2.000","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9161,"107101","Master of Arts - Research","NULL","01/01/2006","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9166,"107101DL","Master of Arts - Research [Educ - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9167,"107101HH","Master of Arts - Research [M&D - H]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9168,"107102BL","Master of Arts - Research","2.000","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9169,"107102FL","Master of Arts - Research [Law - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9170,"107102IL","Master of Arts - Research [N&AS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9117,"107101CL","Master of Arts - Research [E&C - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9122,"107101FL","Master of Arts - Research [Law - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9123,"107101IL","Master of Arts - Research [N&AS - L]","NULL","01/01/2005","NULL"
35,1055,"HEP",1493,"10710","Master of Arts - Research",9124,"107102DL","Master of Arts - Research [Educ - L]","NULL","01/01/2005","NULL"
