"UID1_ProvidersResKey","E306_ProviderCode","E781_ProviderType","UID3_CoursesOfStudyResKey","E533_CourseOfStudyCode","UID5_CoursesResKey","E307_CourseCode","E394_CourseOfStudyName","UID48_CourseFieldsOfEducationResKey","E461_FieldOfEducationCode","E462_FieldOfEducationSupplementaryCode","E609_EffectiveFromDate","E610_EffectiveToDate"
35,1055,"HEP",1552,"25150",10096,"251501","Bachelor of Fine Arts",201264,100301,0,"01/01/2005","31/12/2005"
35,1055,"HEP",25777,"2513H",59517,"2513H2","Bachelor of Architecture - Graduate Honours",75176,40101,0,"01/01/2005","NULL"
35,1055,"HEP",21835,"6111H",56550,"6111H2","Bachelor of Engineering and Bachelor of Arts (Honours)",71939,30000,90000,"01/01/2010","NULL"
35,1055,"HEP",21835,"6111H",56714,"6111H1","Bachelor of Engineering and Bachelor of Arts (Honours)",72122,30000,90000,"01/01/2007","NULL"
35,1055,"HEP",17136,"30630",43505,"306301","Master of Educational Psychology - Dissertation & Coursework",56119,90701,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17136,"30630",43505,"306301","Master of Educational Psychology - Dissertation & Coursework",56120,90701,0,"01/01/2007","NULL"
35,1055,"HEP",17156,"10560",43648,"105601","Master of Philosophy (Australian Studies) - Coursework",56347,90399,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17156,"10560",43648,"105601","Master of Philosophy (Australian Studies) - Coursework",56348,90399,0,"01/01/2007","NULL"
35,1055,"HEP",17181,"10100",43871,"101001","Bachelor of Music Teaching",56684,100101,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17181,"10100",43871,"101001","Bachelor of Music Teaching",56685,100101,0,"01/01/2007","NULL"
35,1055,"HEP",17171,"30410",43916,"304101GL","Master of Education - Preliminary",56743,61799,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17171,"30410",43916,"304101GL","Master of Education - Preliminary",56744,61799,0,"01/01/2007","NULL"
35,1055,"HEP",17189,"50520",44041,"505201","Master of Science Education - Coursework",56923,10500,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17189,"50520",44041,"505201","Master of Science Education - Coursework",56924,10500,0,"01/01/2007","NULL"
35,1055,"HEP",17204,"60410",44071,"604101","Master of Engineering Science - Preliminary",56962,30900,0,"01/01/2005","31/12/2006"
35,1055,"HEP",1552,"25150",10096,"251501","Bachelor of Fine Arts",201265,100301,0,"01/01/2006","NULL"
35,1055,"HEP",1548,"25710",10139,"257102","Master of Architecture - Research",201272,40101,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1548,"25710",10139,"257102","Master of Architecture - Research",201273,40101,0,"01/01/2006","NULL"
35,1055,"HEP",1620,"40500",10689,"405002","Master of Accounting - Coursework",201425,80101,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1620,"40500",10689,"405002","Master of Accounting - Coursework",201426,80101,0,"01/01/2006","NULL"
35,1055,"HEP",1628,"40730",10700,"407302","Master of Japanese Studies - Research",201429,91515,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1628,"40730",10700,"407302","Master of Japanese Studies - Research",201430,91515,0,"01/01/2006","NULL"
35,1055,"HEP",1645,"50110",10739,"501102","Bachelor of Science",201443,10000,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1645,"50110",10739,"501102","Bachelor of Science",201444,10000,0,"01/01/2006","NULL"
35,1055,"HEP",1634,"41320",10782,"413202","Graduate Diploma in Business Economics",201448,91900,0,"01/01/2005","NULL"
35,1055,"HEP",1654,"5015H",10964,"5015H2","Bachelor of Physical and Health Education (Honours)",201494,69903,0,"01/01/2005","31/12/2005"
35,1055,"HEP",1654,"5015H",10964,"5015H2","Bachelor of Physical and Health Education (Honours)",201495,69903,0,"01/01/2006","NULL"
35,1055,"HEP",1663,"50490",11032,"504902","Higher Degree by Research Preliminary - Science",201510,10000,0,"01/01/2013","NULL"
35,1055,"HEP",1672,"50710",11064,"507102DL","Master of Science - Research",201520,70100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",21425,"X-PROV PG",58469,"300303","Cross-Institution Postgraduate",74052,0,0,"01/01/2006","31/12/2008"
35,1055,"HEP",21425,"X-PROV PG",58469,"300303","Cross-Institution Postgraduate",74053,0,0,"01/01/2009","NULL"
35,1055,"HEP",17119,"40340",43472,"403401","Graduate Diploma in Employment Relations",56069,80309,0,"01/01/2005","31/12/2005"
35,1055,"HEP",17119,"40340",43472,"403401","Graduate Diploma in Employment Relations",56070,80309,0,"01/01/2006","NULL"
35,1055,"HEP",17171,"30410",43697,"304101EL","Master of Education - Preliminary",56425,20100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17171,"30410",43697,"304101EL","Master of Education - Preliminary",56426,20100,0,"01/01/2007","NULL"
35,1055,"HEP",17167,"25440",43729,"254401","Master of Environmental Design - Preliminary",56474,40107,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17167,"25440",43729,"254401","Master of Environmental Design - Preliminary",56475,40107,0,"01/01/2007","NULL"
35,1055,"HEP",17102,"70430",43740,"704301AL","Master of Science in Horticulture - Preliminary",56490,40100,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17102,"70430",43740,"704301AL","Master of Science in Horticulture - Preliminary",56491,40100,0,"01/01/2007","NULL"
35,1055,"HEP",17126,"40540",43772,"405401","Master of Industrial Relations - Coursework",56538,80309,0,"01/01/2005","31/12/2006"
35,1055,"HEP",17126,"40540",43772,"405401","Master of Industrial Relations - Coursework",56539,80309,0,"01/01/2007","NULL"
